"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"1120098711617","1120098711617_7701230","2","7701230","Kintambo","-4.34401","15.26765","ADM3","third-order administrative division","6295630|6255146|CD|06|7701230","Earth|Africa|DR Congo|Kinshasa City|Kintambo","1","1"
"1120098711617","1120098711617_7701231","2","7701231","Limete","-4.34872","15.33889","ADM3","third-order administrative division","6295630|6255146|CD|06|7701231","Earth|Africa|Congo|Kinshasa City|Limete","1","1"
"1120098711617","1120098711617_8260583","2","8260583","Masina","-4.38361","15.39139","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|8260583","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Masina","1","1"
"1120098711617","1120098711617_7701223","2","7701223","Matete","-4.38484","15.35751","ADM3","third-order administrative division","6295630|6255146|CD|06|7701223","Earth|Africa|DR Congo|Kinshasa City|Matete","1","1"
"1120098711617","1120098711617_8260581","2","8260581","Selembao","-4.40208","15.28111","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|8260581","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Selembao","1","1"
"1120098731871","1120098731871_2313364","2","2313364","Lukula","-5.38333","12.95","ADM3","third-order administrative division","6295630|6255146|CD|08|7731975|2313364","Earth|Africa|DR Congo|Province du Bas-Congo|Bas Fleuve District|Lukula","1","1"
"1120098731871","1120098731871_2313293","2","2313293","Luozi","-4.95","14.13333","ADM3","third-order administrative division","6295630|6255146|CD|08|7731971|2313293","Earth|Africa|DR Congo|Province du Bas-Congo|Cataractes District|Luozi","1","1"
"1120098731871","1120098731871_2313217","2","2313217","Madimba","-4.98333","15.15","ADM3","third-order administrative division","6295630|6255146|CD|08|7731969|2313217","Earth|Africa|DR Congo|Province du Bas-Congo|Lukaya|Madimba","1","1"
"1120098731871","1120098731871_2312887","2","2312887","Mbanza-Ngungu","-5.25","14.86667","ADM3","third-order administrative division","6295630|6255146|CD|08|7731971|2312887","Earth|Africa|DR Congo|Province du Bas-Congo|Cataractes District|Mbanza-Ngungu","1","1"
"1120098731871","1120098731871_8260603","2","8260603","Moanda","-5.80893","12.63006","ADM3","third-order administrative division","6295630|6255146|CD|08|7731984|8260603","Earth|Africa|DR Congo|Province du Bas-Congo|Boma|Moanda","1","1"
